X,Y,Z,X,Y,Z,X,Y,Z
13732.127,3310482.574,268.456,13731.236,3310472.614,268.348,13732.73,3310472.48,268.378
13732.127,3310482.574,268.456,13732.73,3310472.48,268.378,13733.621,3310482.441,268.486
13733.621,3310482.441,268.486,13732.73,3310472.48,268.378,13733.327,3310472.427,268.078
13733.621,3310482.441,268.486,13733.327,3310472.427,268.078,13734.218,3310482.387,268.186
13734.218,3310482.387,268.186,13733.327,3310472.427,268.078,13733.626,3310472.4,268.378
13734.218,3310482.387,268.186,13733.626,3310472.4,268.378,13734.517,3310482.36,268.486
13734.517,3310482.36,268.486,13733.626,3310472.4,268.378,13734.151,3310472.353,268.906
13734.517,3310482.36,268.486,13734.151,3310472.353,268.906,13735.282,3310482.292,269.254
13724.454,3310493.301,268.378,13723.414,3310483.354,268.018,13723.86,3310483.314,268.316
13724.454,3310493.301,268.378,13723.86,3310483.314,268.316,13724.751,3310493.274,268.577
13724.751,3310493.274,268.577,13723.86,3310483.314,268.316,13725.354,3310483.18,268.286
13724.751,3310493.274,268.577,13725.354,3310483.18,268.286,13726.245,3310493.14,268.547
13726.245,3310493.14,268.547,13725.354,3310483.18,268.286,13728.74,3310482.877,268.371
13726.245,3310493.14,268.547,13728.74,3310482.877,268.371,13729.631,3310492.837,268.632
13729.631,3310492.837,268.632,13728.74,3310482.877,268.371,13732.127,3310482.574,268.456
13729.631,3310492.837,268.632,13732.127,3310482.574,268.456,13733.018,3310492.534,268.717
13733.018,3310492.534,268.717,13732.127,3310482.574,268.456,13733.621,3310482.441,268.486
13733.018,3310492.534,268.717,13733.621,3310482.441,268.486,13734.512,3310492.401,268.747
13734.512,3310492.401,268.747,13733.621,3310482.441,268.486,13735.109,3310492.347,268.447
13735.109,3310492.347,268.447,13733.621,3310482.441,268.486,13734.218,3310482.387,268.186
13735.109,3310492.347,268.447,13734.218,3310482.387,268.186,13735.408,3310492.321,268.747
13735.408,3310492.321,268.747,13734.218,3310482.387,268.186,13734.517,3310482.36,268.486
13735.408,3310492.321,268.747,13734.517,3310482.36,268.486,13735.902,3310492.276,269.243
13735.902,3310492.276,269.243,13734.517,3310482.36,268.486,13735.282,3310482.292,269.254
13725.527,3310503.239,268.913,13724.454,3310493.301,268.378,13724.751,3310493.274,268.577
13725.527,3310503.239,268.913,13724.751,3310493.274,268.577,13725.642,3310503.234,268.989
13725.642,3310503.234,268.989,13724.751,3310493.274,268.577,13726.245,3310493.14,268.547
13725.642,3310503.234,268.989,13726.245,3310493.14,268.547,13727.136,3310503.101,268.959
13727.136,3310503.101,268.959,13726.245,3310493.14,268.547,13729.631,3310492.837,268.632
13727.136,3310503.101,268.959,13729.631,3310492.837,268.632,13730.522,3310502.798,269.044
13730.522,3310502.798,269.044,13729.631,3310492.837,268.632,13733.018,3310492.534,268.717
13730.522,3310502.798,269.044,13733.018,3310492.534,268.717,13733.909,3310502.495,269.129
13733.909,3310502.495,269.129,13733.018,3310492.534,268.717,13734.512,3310492.401,268.747
13734.512,3310492.401,268.747,13735.109,3310492.347,268.447,13736,3310502.308,268.859
13736,3310502.308,268.859,13735.109,3310492.347,268.447,13736.299,3310502.281,269.159
13736.299,3310502.281,269.159,13735.109,3310492.347,268.447,13735.408,3310492.321,268.747
13733.909,3310502.495,269.129,13734.512,3310492.401,268.747,13735.403,3310502.361,269.159
13735.403,3310502.361,269.159,13734.512,3310492.401,268.747,13736,3310502.308,268.859
13736.299,3310502.281,269.159,13735.408,3310492.321,268.747,13735.902,3310492.276,269.243
13736.299,3310502.281,269.159,13735.902,3310492.276,269.243,13737.385,3310502.184,270.249
13725.638,3310509.493,269.305,13725.527,3310503.239,268.913,13725.642,3310503.234,268.989
13725.638,3310509.493,269.305,13725.642,3310503.234,268.989,13725.935,3310513.248,269.196
13725.935,3310513.248,269.196,13725.642,3310503.234,268.989,13726.533,3310513.194,269.496
